LFTSE|151 LEY Federal de los Trabajadores al Servicio del Estado, Reglamentaria del Apartado B) del Artículo 123 Constitucional DOF 28/12/1963 Nueva reforma DOF 15/01/2026
LFVV|168 LEY Federal de Variedades Vegetales DOF 25/10/1996 DOF 11/05/2022
LFZEE|169 LEY Federal de Zonas Económicas Especiales DOF 01/06/2016 DOF 01/04/2024
LGA|186 LEY General de Archivos DOF 15/06/2018 Nueva reforma DOF 14/11/2025
LGAAS|202 LEY General de la Alimentación Adecuada y Sostenible DOF 17/04/2024 Sin reforma
LGAg|185 LEY General de Aguas DOF 11/12/2025 Nueva Ley Sin reforma
LGAHOTDU|187 LEY General de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano DOF 28/11/2016 DOF 01/04/2024
LGAMVLV|184 LEY General de Acceso de las Mujeres a una Vida Libre de Violencias (Antes "Ley General de Acceso de las Mujeres a una Vida Libre de Violencia" ) DOF 01/02/2007 Nueva reforma DOF 15/01/2026
LGAPPCEA_270516|232 LEY General para la Atención y Protección a Personas con la Condición del Espectro Autista DOF 30/04/2015 DOF 27/05/2016
LGB|188 LEY General de Bibliotecas DOF 01/06/2021 DOF 29/11/2023
LGBN|189 LEY General de Bienes Nacionales DOF 20/05/2004 Nueva reforma DOF 14/11/2025
LGCC|190 LEY General de Cambio Climático DOF 06/06/2012 DOF 01/04/2024
LGCDC|194 LEY General de Cultura y Derechos Culturales DOF 19/06/2017 Nueva reforma DOF 15/01/2026
LGCFD|193 LEY General de Cultura Física y Deporte DOF 07/06/2013 Nueva reforma DOF 14/11/2025
LGCG|192 LEY General de Contabilidad Gubernamental DOF 31/12/2008 DOF 16/07/2025
LGCS|191 LEY General de Comunicación Social DOF 11/05/2018 DOF 01/04/2024
LGCT|231 LEY General para el Control del Tabaco DOF 30/05/2008 DOF 17/02/2022
LGDFS|196 LEY General de Desarrollo Forestal Sustentable DOF 05/06/2018 DOF 01/04/2024
LGDLPI|195 LEY General de Derechos Lingüísticos de los Pueblos Indígenas DOF 13/03/2003 DOF 18/10/2023
LGDNNA|203 LEY General de los Derechos de Niñas, Niños y Adolescentes DOF 04/12/2014 Nueva reforma DOF 15/01/2026
LGDOCIA_070121|233 LEY General para la Detección Oportuna del Cáncer en la Infancia y la Adolescencia DOF 07/01/2021 Sin reforma
